,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Accessories'}),frozenset({'Appliances'}),0.5977301387137453,0.4489281210592686,0.27490542244640603,0.459915611814346,1.0244749442943155,0.0065675543731483765,1.0203440258511978
1,frozenset({'Appliances'}),frozenset({'Accessories'}),0.4489281210592686,0.5977301387137453,0.27490542244640603,0.6123595505617977,1.0244749442943155,0.0065675543731483765,1.037739642158744
2,frozenset({'Accessories'}),frozenset({'Art'}),0.5977301387137453,0.6229508196721312,0.4047919293820933,0.6772151898734177,1.0871085942704861,0.032435449527629,1.1681131468981032
3,frozenset({'Art'}),frozenset({'Accessories'}),0.6229508196721312,0.5977301387137453,0.4047919293820933,0.6497975708502024,1.0871085942704863,0.032435449527629,1.1486781010139298
4,frozenset({'Accessories'}),frozenset({'Binders'}),0.5977301387137453,0.819672131147541,0.5081967213114754,0.8502109704641351,1.0372573839662447,0.01825398466086453,1.2038790117755718
5,frozenset({'Binders'}),frozenset({'Accessories'}),0.819672131147541,0.5977301387137453,0.5081967213114754,0.62,1.0372573839662447,0.01825398466086453,1.058604898121723
6,frozenset({'Accessories'}),frozenset({'Chairs'}),0.5977301387137453,0.5132408575031526,0.32156368221941994,0.5379746835443039,1.0481914595838648,0.014784153270498979,1.053533486500026
7,frozenset({'Chairs'}),frozenset({'Accessories'}),0.5132408575031526,0.5977301387137453,0.32156368221941994,0.6265356265356266,1.0481914595838646,0.014784153270498979,1.0771304838388531
8,frozenset({'Accessories'}),frozenset({'Furnishings'}),0.5977301387137453,0.6658259773013872,0.4123581336696091,0.689873417721519,1.036116705024933,0.014373879898035957,1.07754072625267
9,frozenset({'Furnishings'}),frozenset({'Accessories'}),0.6658259773013872,0.5977301387137453,0.4123581336696091,0.6193181818181819,1.036116705024933,0.014373879898035957,1.0567088893489678
10,frozenset({'Labels'}),frozenset({'Accessories'}),0.35435056746532156,0.5977301387137453,0.22950819672131148,0.6476868327402135,1.083577338318543,0.01770218287697048,1.141796272943814
11,frozenset({'Accessories'}),frozenset({'Labels'}),0.5977301387137453,0.35435056746532156,0.22950819672131148,0.3839662447257384,1.083577338318543,0.01770218287697048,1.0480747637720464
12,frozenset({'Accessories'}),frozenset({'Paper'}),0.5977301387137453,0.7704918032786885,0.4918032786885246,0.8227848101265823,1.0678696471855644,0.03125710623695038,1.2950819672131153
13,frozenset({'Paper'}),frozenset({'Accessories'}),0.7704918032786885,0.5977301387137453,0.4918032786885246,0.6382978723404256,1.0678696471855644,0.03125710623695038,1.1121578517914104
14,frozenset({'Accessories'}),frozenset({'Phones'}),0.5977301387137453,0.6443883984867591,0.403530895334174,0.6751054852320675,1.047668590585185,0.018360528521155328,1.0945447994628323
15,frozenset({'Phones'}),frozenset({'Accessories'}),0.6443883984867591,0.5977301387137453,0.403530895334174,0.6262230919765167,1.0476685905851852,0.018360528521155328,1.0762298383103468
16,frozenset({'Accessories'}),frozenset({'Storage'}),0.5977301387137453,0.648171500630517,0.4110970996216898,0.6877637130801688,1.0610829269894433,0.02366545863951447,1.1268020858184795
17,frozenset({'Storage'}),frozenset({'Accessories'}),0.648171500630517,0.5977301387137453,0.4110970996216898,0.6342412451361868,1.0610829269894435,0.02366545863951447,1.0998229186230584
18,frozenset({'Accessories'}),frozenset({'Tables'}),0.5977301387137453,0.3291298865069357,0.22068095838587642,0.36919831223628696,1.1217404659133163,0.02395010566924652,1.0635198454706105
19,frozenset({'Tables'}),frozenset({'Accessories'}),0.3291298865069357,0.5977301387137453,0.22068095838587642,0.6704980842911877,1.1217404659133163,0.02395010566924652,1.2208422534385173
20,frozenset({'Art'}),frozenset({'Appliances'}),0.6229508196721312,0.4489281210592686,0.3051702395964691,0.4898785425101214,1.091218214074512,0.025510098608727994,1.0802758261774654
21,frozenset({'Appliances'}),frozenset({'Art'}),0.4489281210592686,0.6229508196721312,0.3051702395964691,0.6797752808988764,1.0912182140745121,0.025510098608727994,1.177451826287029
22,frozenset({'Binders'}),frozenset({'Appliances'}),0.819672131147541,0.4489281210592686,0.3921815889029004,0.47846153846153844,1.0657865168539324,0.024207719182188392,1.0566274964940279
23,frozenset({'Appliances'}),frozenset({'Binders'}),0.4489281210592686,0.819672131147541,0.3921815889029004,0.8735955056179775,1.0657865168539324,0.024207719182188392,1.4265938069216753
24,frozenset({'Chairs'}),frozenset({'Appliances'}),0.5132408575031526,0.4489281210592686,0.2547288776796974,0.4963144963144963,1.1055544819589764,0.024320623869959257,1.094079291360379
25,frozenset({'Appliances'}),frozenset({'Chairs'}),0.4489281210592686,0.5132408575031526,0.2547288776796974,0.5674157303370787,1.1055544819589764,0.024320623869959257,1.1252354203173875
26,frozenset({'Furnishings'}),frozenset({'Appliances'}),0.6658259773013872,0.4489281210592686,0.3114754098360656,0.46780303030303033,1.042044390534559,0.012567404893702616,1.0354660216395237
27,frozenset({'Appliances'}),frozenset({'Furnishings'}),0.4489281210592686,0.6658259773013872,0.3114754098360656,0.6938202247191011,1.042044390534559,0.012567404893702616,1.0914307530340015
28,frozenset({'Paper'}),frozenset({'Appliances'}),0.7704918032786885,0.4489281210592686,0.3593947036569987,0.4664484451718494,1.0390270141047095,0.013499266119529452,1.0328371718797142
29,frozenset({'Appliances'}),frozenset({'Paper'}),0.4489281210592686,0.7704918032786885,0.3593947036569987,0.8005617977528089,1.0390270141047095,0.013499266119529452,1.1507734934195333
30,frozenset({'Phones'}),frozenset({'Appliances'}),0.6443883984867591,0.4489281210592686,0.30390920554854983,0.4716242661448142,1.050556300710218,0.014625132583497846,1.0429545560693105
31,frozenset({'Appliances'}),frozenset({'Phones'}),0.4489281210592686,0.6443883984867591,0.30390920554854983,0.6769662921348315,1.050556300710218,0.014625132583497846,1.1008498272931633
32,frozenset({'Storage'}),frozenset({'Appliances'}),0.648171500630517,0.4489281210592686,0.3051702395964691,0.47081712062256814,1.048758361386788,0.014187825694244593,1.0413637712335881
33,frozenset({'Appliances'}),frozenset({'Storage'}),0.4489281210592686,0.648171500630517,0.3051702395964691,0.6797752808988764,1.048758361386788,0.014187825694244593,1.098692506802947
34,frozenset({'Art'}),frozenset({'Binders'}),0.6229508196721312,0.819672131147541,0.5233291298865069,0.840080971659919,1.0248987854251013,0.012713703925743669,1.1276198381406928
35,frozenset({'Binders'}),frozenset({'Art'}),0.819672131147541,0.6229508196721312,0.5233291298865069,0.6384615384615384,1.024898785425101,0.012713703925743669,1.0429019881409136
36,frozenset({'Art'}),frozenset({'Chairs'}),0.6229508196721312,0.5132408575031526,0.33921815889029006,0.5445344129554656,1.0609724557092977,0.01949434601947364,1.0687067395264116
37,frozenset({'Chairs'}),frozenset({'Art'}),0.5132408575031526,0.6229508196721312,0.33921815889029006,0.6609336609336609,1.0609724557092977,0.01949434601947364,1.112021857923497
38,frozenset({'Art'}),frozenset({'Furnishings'}),0.6229508196721312,0.6658259773013872,0.42118537200504413,0.6761133603238866,1.015450558213716,0.006408533686147189,1.031762295081967
